600082,海泰发展,0.02,0.06,0.06,0.07,0.13,"1,038","4,075","4,049","4,272","8,178","68,375","92,141","86,984","83,893","117,583","175,612","174,573","170,498","166,449","165,408","181,126","168,553","143,000","112,396","140,978",7.13,6.87,4.87,4.64,3.37,7.43
600083,博信股份,0.05,0.03,0.03,-0.03,0.07,"1,136",582,749,-636,"1,654","11,451","9,058","8,204","1,191",0,"6,135","4,658","3,162","2,304","2,940","5,665","13,480","5,639","2,116",915,22.64,10.61,7.02,4.98,4.36,24.51
600084,中葡股份,0.01,0.01,0.02,0.01,-0.23,"1,551","1,048","1,573",995,"-18,365","30,314","52,345","55,214","61,904","53,709","241,022","238,254","90,294","89,414","88,021","151,392","158,118","208,971","191,594","189,089",7.42,5.93,3.94,5.45,5.33,11.91
600085,同仁堂,0.65,0.58,0.5,0.44,0.34,"87,518","76,367","65,601","57,006","43,807","1,080,876","968,587","871,465","750,403","610,838","1,087,039","864,646","783,740","560,438","481,106","346,948","430,022","407,450","406,355","251,884",44.61,22.43,21.4,17.82,14.03,31.38
600086,东方金钰,0.23,0.28,0.45,0.46,0.22,"30,029","9,870","15,716","16,031","7,827","866,060","454,255","592,802","482,697","311,401","277,961","101,543","89,272","73,556","57,525","679,143","511,207","428,270","419,792","258,574",12.31,25.59,17.4,21.86,12.99,10.88
600088,中视传媒,0.08,0.16,0.2,0.14,0.22,"2,638","5,270","6,773","4,521","7,322","51,355","75,604","124,033","122,865","128,948","119,448","118,180","114,615","108,690","106,685","27,642","32,643","39,019","77,259","125,278",30.11,17.69,15.52,9.36,14,21.92
600089,特变电工,0.58,0.52,0.5,0.37,0.47,"188,755","164,860","132,838","98,063","122,924","3,745,196","3,607,476","2,917,469","2,032,514","1,816,474","2,466,897","2,102,037","1,595,151","1,489,623","1,405,327","4,559,043","3,827,134","3,470,868","2,714,853","1,955,920",11.77,12.38,10.72,6.46,7.68,9.13
600093,易见股份,0.46,0.11,0.16,0.06,0.07,"33,457","3,543","5,169","1,994","2,144","527,129","40,501","38,849","42,726","33,976","609,756","45,923","42,379","37,413","34,978","370,506","31,227","27,732","31,699","26,664",16.37,8.69,5.89,5.34,4.44,14.5
600094,大名城,0.23,0.21,0.17,0.13,0.46,"45,724","34,543","25,545","18,896","69,653","516,757","537,990","293,989","167,645","330,271","983,665","711,651","445,700","353,174","320,438","2,663,974","1,441,204","1,062,941","685,375","421,092",10.62,7.99,5.05,6.95,4.15,8.9
600095,哈高科,0.04,0.03,0.09,0.07,0.06,"1,458","1,158","3,315","2,449","2,150","26,462","44,017","55,276","32,361","28,990","74,875","73,994","73,626","70,390","67,851","39,104","46,470","70,676","84,955","60,742",11.13,6.27,4.8,5.53,5.08,12.92
600096,云天化,0.09,-2.29,0.38,-0.76,0.26,"10,119","-258,347","59,271","-52,767","16,875","5,026,690","5,449,228","5,589,624","989,304","1,011,662","700,450","678,263","968,769","692,926","839,436","6,007,253","6,172,651","5,598,093","2,016,387","1,867,699",12.97,12.09,8.9,12.96,14.88,9.49
600097,开创国际,-0.55,0.52,0.51,0.64,0.32,"-11,081","10,616","10,311","12,878","6,575","67,505","83,101","81,556","81,982","73,464","79,254","91,861","85,218","79,582","68,360","38,397","43,261","44,773","52,523","64,981",19.64,14.25,12.69,12.3,10.11,21.74
600098,广州发展,0.48,0.45,0.37,0.34,0.19,"130,261","122,412","102,804","87,263","38,400","2,111,665","1,944,580","1,662,845","1,516,447","1,081,753","1,838,464","1,737,360","1,674,363","1,591,604","1,192,249","1,647,663","1,640,555","1,698,881","1,677,578","866,585",12.63,8.76,5.38,7.58,6.91,11.22
600099,林海股份,0.01,0.01,0,0,0.01,236,293,40,49,328,"35,700","35,783","28,037","21,960","25,640","47,261","46,965","47,767","47,727","47,678","10,828","9,294","6,431","4,980","5,269",14.19,8.04,5.19,5.65,5.22,18.93
600101,明星电力,0.27,0.3,0.51,0.34,0.68,"8,909","9,749","16,472","11,049","22,050","126,797","124,490","108,073","90,826","80,838","191,650","183,821","176,814","163,316","154,654","86,614","85,391","79,697","91,759","93,616",14.31,9.41,8.69,9.29,8.91,12.05
600103,青山纸业,-0.14,0.03,0.02,-0.3,0.01,"-14,652","2,735","1,724","-32,008","1,247","211,161","189,549","180,921","171,949","201,586","123,500","137,924","147,260","147,441","176,036","204,222","199,915","214,838","204,700","189,817",7.73,3.66,2.31,2.89,3.14,5.65
